Show,Channel in India,Poster Name ,Original release year,India debut year,India end year,Genre,Country of origin,Animation style,Main character gender,Ensemble/solo,Human/animal/other protagonist,Comedy/adventure/action,Indian-produced?,Short synopsis,Protagonist role,protagonist_role_clean,Underlying themes,prominent_theme_clean,creators,no_of_female_creators
As Told by Ginger,Nickelodeon / Nick,,2000,2001,2008,Comedy/School,USA,traditional 2D,female,ensemble,human,comedy,No,"A teenage girl and her friends navigate school, relationships, family, identity and the challenges of Coming of age.",Social Navigator / Learner,Navigator,"identity, friendship, belonging, Coming of age",Coming of age,Emily Kapnek,Yes
Avatar: The Last Airbender,Nickelodeon / Nick,,2005,2006,2012,Fantasy/Adventure,USA,traditional 2D,male,ensemble,human,adventure/action,No,"A young Avatar and his friends travel across a war-torn world, mastering elemental powers and working to restore balance.",Hero / Learner,Hero,"balance, responsibility, identity, friendship",Heroism,Michael Dante DiMartino & Bryan Konietzko,0
Back at the Barnyard,Nickelodeon / Nick,,2007,2008,2012,Comedy,USA,traditional 2D,male,ensemble,animal,comedy,No,"A group of farm animals secretly live like humans, creating comic adventures while their farmer remains unaware.",Trickster / Social Navigator,Trickster,"friendship, freedom, mischief, community",Mischief,Steve Oedekerk,0
CatDog,Nickelodeon / Nick,,1998,1999,2008,Comedy,USA,traditional 2D,male,duo,animal,comedy,No,A conjoined cat-and-dog pair with opposite personalities share a home and repeatedly get into chaotic adventures and arguments.,Rival / Social Navigator,Rival,"family, rivalry, compromise, individuality",Mischief,Peter Hannan,0
ChalkZone,Nickelodeon / Nick,,2002,2003,2009,Fantasy/Comedy,USA,traditional 2D,male,solo,human/other,comedy/adventure,No,"A boy discovers a magical world inside chalk drawings, where he and his friends explore imaginative places and face strange challenges.",Explorer / Adventurer,Explorer,"imagination, creativity, curiosity, friendship",Adventure,Bill Burnett & Larry Huber,0
Dora the Explorer,Nickelodeon / Nick,,2000,2003,2015,Preschool/Adventure,USA,traditional 2D,female,solo,human/animal,adventure,No,"A young girl and her talking backpack guide viewers through interactive adventures, solving problems and learning concepts along the way.",Explorer / Learner,Explorer,"curiosity, learning, cooperation, exploration",Learning,"Chris Gifford, Valerie Walsh Valdes & Eric Weiner",Yes 
Go Diego Go!,Nickelodeon / Nick,,2005,2006,2012,Preschool/Adventure,USA,traditional 2D,male,solo,human/animal,adventure,No,A young animal rescuer helps endangered creatures and solves problems through interactive adventures in different environments.,Helper / Animal Rescuer,Helper,"empathy, conservation, courage, Problem solving others",Problem solving,"Chris Gifford, Valerie Walsh Valdes & Jeff Borkin",Yes 
Horrid Henry,Nickelodeon / Nick,,2006,2009,2015,Comedy/School,UK,traditional 2D,male,ensemble,human,comedy,No,"A mischievous schoolboy constantly challenges rules, annoys adults and turns ordinary family and school situations into comic adventures.",Rebel / Trickster,Rebel,"rebellion, independence, family, consequences",Mischief,Francesca Simon (book creator); Novel Entertainment,Yes 
Inspector Chingum,Nickelodeon / Nick,,2013,2013,2018,Comedy/Action,India,3D CGI,male,ensemble,human,comedy/action,Yes,A comically overconfident police inspector and his team solve cases in unusual ways while dealing with criminals and comic mishaps.,Investigator / Protector,Investigator,"justice, teamwork, courage, humor",Mystery,Not identified,Unknown
Invader Zim,Nickelodeon / Nick,,2001,2002,2005,Comedy/Sci-fi,USA,traditional 2D,male,duo,other/human,comedy/adventure,No,An overconfident alien invader secretly attempts to conquer Earth while an eccentric human child tries to expose him.,Outsider / Schemer,Outsider,"outsider identity, ambition, deception, absurdity",Mischief,Jhonen Vasquez,0
Keymon Ache,Nickelodeon / Nick,,2011,2011,2014,Comedy/Fantasy,India,traditional 2D/3D,male,ensemble,human/other,comedy/adventure,Yes,"A schoolboy's magical backpack brings unusual objects and adventures into his everyday life, creating comic situations with friends.",Problem-Solver / Explorer,Solver,"friendship, imagination, curiosity, problem-solving",Fantasy, Nikhil Vyas,0
Motu Patlu,Nickelodeon / Nick,,2012,2012,present,Comedy/Adventure,India,3D CGI,male,duo,human,comedy/adventure,Yes,"Two best friends in Furfuri Nagar stumble into comic adventures, often relying on friendship and improvisation to escape trouble.",Friend / Trickster,Friend,"friendship, loyalty, cleverness, humor",Mischief,Harvinder Mankkar & Lotpot creators? Not identified,0
Ninja Hattori,Nickelodeon / Nick,,1981,2004,2010,Comedy/Adventure,Japan,traditional 2D,male,ensemble,human,comedy/adventure,No,"A young ninja moves in with an ordinary boy, using his skills to help him while creating comic situations and rivalries.",Helper / Protector,Helper,"friendship, loyalty, courage, responsibility",Heroism,Fujiko F. Fujio,0
Oggy and the Cockroaches,Nickelodeon / Nick,,1998,2009,2012,Comedy,France,traditional 2D,male,ensemble,animal,comedy,No,A laid-back blue cat battles three mischievous cockroaches who constantly invade his home and disrupt his peaceful life.,Survivor / Rival,Survivor,"survival, rivalry, persistence, humor",Mischief,Jean-Yves Raimbaud,0
Pakdam Pakdai,Nickelodeon / Nick,,2013,2013,2018,Comedy,India,3D CGI,mixed,ensemble,animal,comedy,Yes,"A group of clever dogs and their rivals chase, trick and outwit one another through fast-paced slapstick adventures.",Trickster / Rival,Trickster,"rivalry, cleverness, persistence, humor",Mischief,Cosmos-Maya,Unknown
Perman,Nickelodeon / Nick,,1967,2004,2010,Comedy/Superhero,Japan,traditional 2D,male,ensemble,human,comedy/action,No,A schoolboy becomes a masked superhero and secretly protects people while balancing ordinary school life with heroic responsibilities.,Hero / Protector,Hero,"heroism, responsibility, justice, friendship",Heroism,Fujiko F. Fujio,0
Shiva,Nickelodeon / Nick,,2015,2015,2019,Action/Adventure,India,3D CGI,male,ensemble,human,action/adventure,Yes,"A brilliant young boy uses advanced technology, courage and problem-solving skills to protect his city from criminals and dangerous threats.",Hero / Problem-Solver,Hero,"courage, justice, intelligence, responsibility",Heroism,Not identified,Unknown
SpongeBob SquarePants,Nickelodeon / Nick,,1999,1999,present,Comedy,USA,traditional 2D,male,ensemble,animal,comedy,No,"An optimistic sea sponge lives in Bikini Bottom, working at a restaurant and turning ordinary underwater life into absurd adventures.",Friend / Social Navigator,Friend,"friendship, optimism, individuality, everyday life",Friendship,Stephen Hillenburg,0
The Adventures of Jimmy Neutron,Nickelodeon / Nick,,2002,2004,2010,Comedy/Sci-fi,USA,traditional 2D,male,ensemble,human,comedy/adventure,No,"A boy genius invents futuristic gadgets that repeatedly create problems, forcing him and his friends to save their town.",Inventor / Problem-Solver,Inventor,"creativity, intelligence, curiosity, consequences",Scientific,John A. Davis,0
The Fairly Odd Parents,Nickelodeon / Nick,,2001,2003,present,Comedy/Fantasy,USA,traditional 2D,male,ensemble,human/other,comedy/adventure,No,"A neglected boy gains magical fairy godparents who grant wishes, often creating chaotic consequences he must help resolve.",Problem-Solver / Wish-Maker,Solver,"imagination, consequences, friendship, family",Fantasy,Butch Hartman,0
The Penguins of Madagascar,Nickelodeon / Nick,,2008,2009,2015,Comedy/Adventure,USA,CGI,male,ensemble,animal,comedy/adventure,No,"Four clever penguins run covert missions from their zoo habitat, dealing with rival animals, schemes and unexpected threats.",Protector / Strategist,Protector,"teamwork, loyalty, strategy, protection",Heroism,Tom McGrath & Eric Darnell (film characters); Bob Schooley & Mark McCorkle (series),0
The Wild Thornberrys,Nickelodeon / Nick,,1998,1999,2008,Adventure/Comedy,USA,traditional 2D,female,ensemble,human/animal,comedy/adventure,No,A family travels the world making wildlife documentaries while their adventurous daughter secretly communicates with animals and gets into trouble.,Explorer / Animal Helper,Explorer,"curiosity, nature, family, conservation",Adventure,"Arlene Klasky, Gábor Csupó & Steve Pepoon",0
Shinchan,Hungama TV,,1992,2006,present,Comedy/Family,Japan,traditional 2D,male,ensemble,human,comedy,No,A mischievous young boy turns ordinary family and neighborhood life into chaotic comic adventures through his curiosity and rule-breaking.,,Mischief-maker,"mischief, family, childhood, rebellion",Mischief,Yoshito Usui,0
Doraemon,Hungama TV,,1979,2005,present,Comedy/Fantasy,Japan,traditional 2D,male,ensemble,robot/human,comedy/adventure,No,"A robotic cat from the future uses magical gadgets to help Nobita, whose everyday problems often become bigger adventures.",,Helper,"technology, friendship, imagination, problem-solving",Scientific,Fujiko F. Fujio,0
Kiteretsu Daihyakka,Hungama TV,,1988,2006,2014,Comedy/Sci-fi,Japan,traditional 2D,male,ensemble,human,comedy/adventure,No,"A young inventor recreates gadgets from an ancestor's encyclopedia, leading to comic adventures with friends and his robot companion.",,Inventor,"invention, science, curiosity, friendship",Scientific,Fujiko F. Fujio,0
KochiKame,Hungama TV,,1996,2006,2015,Comedy,Japan,traditional 2D,male,ensemble,human,comedy,No,A money-loving police officer and his colleagues get into absurd schemes and everyday misadventures at a Tokyo police station.,,Trickster,"ambition, mischief, friendship, everyday life",Mischief,Osamu Akimoto,0
Hagemaru,Hungama TV,,1988,2008,2015,Comedy/Family,Japan,traditional 2D,male,ensemble,human,comedy,No,"A frugal schoolboy and his family turn everyday life into comic situations through exaggerated thrift, mischief and clever schemes.",,Mischief-maker,"thrift, mischief, family, childhood",Mischief,Shinbo Nomura,0
Perman,Hungama TV,,1967,2005,2010,Comedy/Superhero,Japan,traditional 2D,male,ensemble,human,comedy/action,No,A schoolboy secretly becomes a superhero and protects people while balancing heroic responsibilities with ordinary childhood life.,,Hero,"heroism, responsibility, friendship, identity",Heroism,Fujiko F. Fujio,0
Pokémon,Hungama TV,,1997,2006,2014,Adventure/Fantasy,Japan,traditional 2D,male,ensemble,human/animal,adventure/action,No,"A young Pokémon trainer travels across regions, forms friendships, competes in battles and works toward becoming a Pokémon Master.",,Competitor,"friendship, competition, perseverance, discovery",Competition,"Satoshi Tajiri / The Pokémon Company, Atsuko Nishida",Yes
Beyblade,Hungama TV,,2001,2005,2010,Action/Sports,Japan,traditional 2D,male,ensemble,human,action/adventure,No,"Young competitors battle with spinning tops, training hard while building friendships, rivalries and increasingly powerful techniques.",,Competitor,"competition, ambition, friendship, perseverance",Competition,Takao Aoki,Unknown
Sonic X,Hungama TV,,2003,2007,2012,Action/Adventure,Japan,traditional 2D,male,ensemble,animal/human,action/adventure,No,"Sonic and his friends are transported to Earth, where they battle villains and protect their new human friends.",,Hero,"adventure, friendship, courage, teamwork",Adventure,Sega / Sonic Team,Yes
"Gon, the Stone Age Boy",Hungama TV,,2012,2013,present,Comedy/Adventure,Japan,traditional 2D,male,solo,animal,comedy/adventure,No,"A young dinosaur-like creature explores a prehistoric world, encountering other animals and turning survival into playful adventures.",Explorer / Adventurer,Explorer,"exploration, survival, curiosity, friendship",Adventure,Masashi Tanaka,0
